sample_id,filename,split,source,sample_type,x,y,valid_pixels,change_pixels,ignore_pixels,valid_ratio,change_ratio,label_values
jrc_tmf_2020_2023_amazon_bolivia_01_000256_003840,jrc_tmf_2020_2023_amazon_bolivia_01_000256_003840.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3840,256,60319,571,5217,0.9203948974609375,0.009466337306652962,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_004864,jrc_tmf_2020_2023_amazon_bolivia_01_000256_004864.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4864,256,64692,292,844,0.98712158203125,0.004513695665615532,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_005376,jrc_tmf_2020_2023_amazon_bolivia_01_000256_005376.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5376,256,65311,224,225,0.9965667724609375,0.0034297438410068747,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_005632,jrc_tmf_2020_2023_amazon_bolivia_01_000256_005632.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5632,256,65373,138,163,0.9975128173828125,0.002110963241705291,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000256_006912,jrc_tmf_2020_2023_amazon_bolivia_01_000256_006912.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6912,256,59636,268,5900,0.90997314453125,0.004493929841035616,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_000512,jrc_tmf_2020_2023_amazon_bolivia_01_000512_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,512,59232,1287,6304,0.90380859375,0.021728119935170178,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_000768,jrc_tmf_2020_2023_amazon_bolivia_01_000512_000768.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,768,512,62975,593,2561,0.9609222412109375,0.009416435093290989,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_001024,jrc_tmf_2020_2023_amazon_bolivia_01_000512_001024.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1024,512,64034,818,1502,0.977081298828125,0.01277446356623044,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_001280,jrc_tmf_2020_2023_amazon_bolivia_01_000512_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,512,64882,3872,654,0.990020751953125,0.05967756850898554,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_001792,jrc_tmf_2020_2023_amazon_bolivia_01_000512_001792.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1792,512,60856,150,4680,0.9285888671875,0.0024648350203759694,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_002304,jrc_tmf_2020_2023_amazon_bolivia_01_000512_002304.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2304,512,62921,172,2615,0.9600982666015625,0.002733586560925605,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_003328,jrc_tmf_2020_2023_amazon_bolivia_01_000512_003328.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3328,512,64385,175,1151,0.9824371337890625,0.0027180243845616216,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_003840,jrc_tmf_2020_2023_amazon_bolivia_01_000512_003840.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3840,512,62625,742,2911,0.9555816650390625,0.011848303393213572,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_005120,jrc_tmf_2020_2023_amazon_bolivia_01_000512_005120.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5120,512,65531,263,5,0.9999237060546875,0.00401336771909478,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_005632,jrc_tmf_2020_2023_amazon_bolivia_01_000512_005632.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5632,512,65343,180,193,0.9970550537109375,0.002754694458472981,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_005888,jrc_tmf_2020_2023_amazon_bolivia_01_000512_005888.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5888,512,65475,999,61,0.9990692138671875,0.015257731958762887,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_006144,jrc_tmf_2020_2023_amazon_bolivia_01_000512_006144.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6144,512,65536,251,0,1.0,0.0038299560546875,0|1
jrc_tmf_2020_2023_amazon_bolivia_01_000512_006400,jrc_tmf_2020_2023_amazon_bolivia_01_000512_006400.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6400,512,64692,201,844,0.98712158203125,0.003107030235577815,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000512_006656,jrc_tmf_2020_2023_amazon_bolivia_01_000512_006656.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6656,512,55237,279,10299,0.8428497314453125,0.00505096221735431,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_000512,jrc_tmf_2020_2023_amazon_bolivia_01_000768_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,768,63460,705,2076,0.96832275390625,0.011109360226914592,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_000768,jrc_tmf_2020_2023_amazon_bolivia_01_000768_000768.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,768,768,61482,479,4054,0.938140869140625,0.007790898149051755,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_001280,jrc_tmf_2020_2023_amazon_bolivia_01_000768_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,768,64957,452,579,0.9911651611328125,0.006958449435780593,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_001536,jrc_tmf_2020_2023_amazon_bolivia_01_000768_001536.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1536,768,55718,300,9818,0.850189208984375,0.005384256434186439,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_002816,jrc_tmf_2020_2023_amazon_bolivia_01_000768_002816.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2816,768,59248,1452,6288,0.904052734375,0.024507156359708345,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_003328,jrc_tmf_2020_2023_amazon_bolivia_01_000768_003328.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3328,768,64949,1236,587,0.9910430908203125,0.01903031609416619,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_004096,jrc_tmf_2020_2023_amazon_bolivia_01_000768_004096.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4096,768,53744,1872,11792,0.820068359375,0.034831795177136055,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_004608,jrc_tmf_2020_2023_amazon_bolivia_01_000768_004608.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4608,768,52712,116,12824,0.8043212890625,0.002200637426013052,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_005120,jrc_tmf_2020_2023_amazon_bolivia_01_000768_005120.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5120,768,65323,755,213,0.9967498779296875,0.01155795049216968,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_005632,jrc_tmf_2020_2023_amazon_bolivia_01_000768_005632.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5632,768,65141,900,395,0.9939727783203125,0.01381618335610445,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_005888,jrc_tmf_2020_2023_amazon_bolivia_01_000768_005888.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5888,768,60308,3032,5228,0.92022705078125,0.050275253697685214,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_006400,jrc_tmf_2020_2023_amazon_bolivia_01_000768_006400.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6400,768,65498,1052,38,0.999420166015625,0.016061559131576537,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_000768_006912,jrc_tmf_2020_2023_amazon_bolivia_01_000768_006912.png,test,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6912,768,53439,220,12097,0.8154144287109375,0.0041168435038080806,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_000000,jrc_tmf_2020_2023_amazon_bolivia_01_001024_000000.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,0,1024,64647,552,889,0.9864349365234375,0.008538679289062137,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_000256,jrc_tmf_2020_2023_amazon_bolivia_01_001024_000256.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,256,1024,64557,564,979,0.9850616455078125,0.00873646544913797,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512,jrc_tmf_2020_2023_amazon_bolivia_01_001024_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,1024,65021,199,515,0.9921417236328125,0.0030605496685686163,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_000768,jrc_tmf_2020_2023_amazon_bolivia_01_001024_000768.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,768,1024,62259,453,3277,0.9499969482421875,0.00727605647376283,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_001280,jrc_tmf_2020_2023_amazon_bolivia_01_001024_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,1024,65505,4965,31,0.9995269775390625,0.07579574078314633,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_001792,jrc_tmf_2020_2023_amazon_bolivia_01_001024_001792.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1792,1024,60338,137,5198,0.920684814453125,0.00227054260996387,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_003840,jrc_tmf_2020_2023_amazon_bolivia_01_001024_003840.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3840,1024,57735,707,7801,0.8809661865234375,0.012245604919026588,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_005120,jrc_tmf_2020_2023_amazon_bolivia_01_001024_005120.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5120,1024,65414,273,122,0.998138427734375,0.004173418534258721,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_005376,jrc_tmf_2020_2023_amazon_bolivia_01_001024_005376.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5376,1024,60828,3160,4708,0.92816162109375,0.05194975997895706,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_005632,jrc_tmf_2020_2023_amazon_bolivia_01_001024_005632.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5632,1024,64603,3659,933,0.9857635498046875,0.056638236614398714,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_005888,jrc_tmf_2020_2023_amazon_bolivia_01_001024_005888.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5888,1024,65470,631,66,0.998992919921875,0.009638002138383993,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_006144,jrc_tmf_2020_2023_amazon_bolivia_01_001024_006144.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6144,1024,59490,7207,6046,0.907745361328125,0.12114641116153975,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_006400,jrc_tmf_2020_2023_amazon_bolivia_01_001024_006400.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6400,1024,65304,852,232,0.9964599609375,0.01304667401690555,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001024_006912,jrc_tmf_2020_2023_amazon_bolivia_01_001024_006912.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6912,1024,56347,375,9189,0.8597869873046875,0.006655190160966866,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_000000,jrc_tmf_2020_2023_amazon_bolivia_01_001280_000000.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,0,1280,65347,131,189,0.9971160888671875,0.0020046826939262704,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_000256,jrc_tmf_2020_2023_amazon_bolivia_01_001280_000256.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,256,1280,65117,418,419,0.9936065673828125,0.006419214644409294,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_000512,jrc_tmf_2020_2023_amazon_bolivia_01_001280_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,1280,62918,332,2618,0.960052490234375,0.005276709367748498,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_000768,jrc_tmf_2020_2023_amazon_bolivia_01_001280_000768.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,768,1280,62681,415,2855,0.9564361572265625,0.006620826087650165,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_001280,jrc_tmf_2020_2023_amazon_bolivia_01_001280_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,1280,64773,401,763,0.9883575439453125,0.006190851126240872,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_001536,jrc_tmf_2020_2023_amazon_bolivia_01_001280_001536.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1536,1280,53872,2508,11664,0.822021484375,0.04655479655479655,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_001792,jrc_tmf_2020_2023_amazon_bolivia_01_001280_001792.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1792,1280,52538,228,12998,0.801666259765625,0.004339716015074803,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_002048,jrc_tmf_2020_2023_amazon_bolivia_01_001280_002048.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2048,1280,53518,268,12018,0.816619873046875,0.005007660973877948,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_002304,jrc_tmf_2020_2023_amazon_bolivia_01_001280_002304.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2304,1280,53490,224,12046,0.816192626953125,0.004187698635258927,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_003840,jrc_tmf_2020_2023_amazon_bolivia_01_001280_003840.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3840,1280,64884,1413,652,0.99005126953125,0.021777325688921767,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864,jrc_tmf_2020_2023_amazon_bolivia_01_001280_004864.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4864,1280,53585,1524,11951,0.8176422119140625,0.028440794998600354,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_005376,jrc_tmf_2020_2023_amazon_bolivia_01_001280_005376.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5376,1280,53959,2239,11577,0.8233489990234375,0.041494468022016714,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001280_005888,jrc_tmf_2020_2023_amazon_bolivia_01_001280_005888.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5888,1280,65529,368,7,0.9998931884765625,0.005615834210807429,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_000000,jrc_tmf_2020_2023_amazon_bolivia_01_001536_000000.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,0,1536,65011,762,525,0.9919891357421875,0.011721093353432495,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_000512,jrc_tmf_2020_2023_amazon_bolivia_01_001536_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,1536,61754,221,3782,0.942291259765625,0.003578715548790362,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_001280,jrc_tmf_2020_2023_amazon_bolivia_01_001536_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,1536,65043,153,493,0.9924774169921875,0.0023522900235229,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_001536,jrc_tmf_2020_2023_amazon_bolivia_01_001536_001536.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1536,1536,60427,285,5109,0.9220428466796875,0.004716434706339881,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_002304,jrc_tmf_2020_2023_amazon_bolivia_01_001536_002304.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2304,1536,65318,1795,218,0.996673583984375,0.027480939404145872,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_002560,jrc_tmf_2020_2023_amazon_bolivia_01_001536_002560.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2560,1536,56132,166,9404,0.85650634765625,0.002957314900591463,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_002816,jrc_tmf_2020_2023_amazon_bolivia_01_001536_002816.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,2816,1536,61152,636,4384,0.93310546875,0.010400313971742544,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_004096,jrc_tmf_2020_2023_amazon_bolivia_01_001536_004096.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4096,1536,63337,213,2199,0.9664459228515625,0.0033629631968675497,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_004352,jrc_tmf_2020_2023_amazon_bolivia_01_001536_004352.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4352,1536,64581,183,955,0.9854278564453125,0.0028336507641566404,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_005120,jrc_tmf_2020_2023_amazon_bolivia_01_001536_005120.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5120,1536,64882,10531,654,0.990020751953125,0.16231003976449554,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_006144,jrc_tmf_2020_2023_amazon_bolivia_01_001536_006144.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6144,1536,65518,2268,18,0.999725341796875,0.034616441283311455,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001536_006400,jrc_tmf_2020_2023_amazon_bolivia_01_001536_006400.png,val,jrc_tmf_2020_2023_amazon_bolivia_01,positive,6400,1536,55941,3557,9595,0.8535919189453125,0.06358484832233961,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_000256,jrc_tmf_2020_2023_amazon_bolivia_01_001792_000256.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,256,1792,64369,180,1167,0.9821929931640625,0.0027963771380633533,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_000512,jrc_tmf_2020_2023_amazon_bolivia_01_001792_000512.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,512,1792,62168,365,3368,0.9486083984375,0.0058711877493244115,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_000768,jrc_tmf_2020_2023_amazon_bolivia_01_001792_000768.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,768,1792,61155,127,4381,0.9331512451171875,0.0020766903769111273,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_001280,jrc_tmf_2020_2023_amazon_bolivia_01_001792_001280.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1280,1792,65395,1368,141,0.9978485107421875,0.02091903050691949,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_001536,jrc_tmf_2020_2023_amazon_bolivia_01_001792_001536.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,1536,1792,65092,13459,444,0.99322509765625,0.2067688809684754,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_003072,jrc_tmf_2020_2023_amazon_bolivia_01_001792_003072.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3072,1792,62300,274,3236,0.95062255859375,0.004398073836276084,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_003840,jrc_tmf_2020_2023_amazon_bolivia_01_001792_003840.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,3840,1792,64901,142,635,0.9903106689453125,0.0021879477974145237,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_004096,jrc_tmf_2020_2023_amazon_bolivia_01_001792_004096.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4096,1792,65300,8998,236,0.99639892578125,0.1377947932618683,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_004352,jrc_tmf_2020_2023_amazon_bolivia_01_001792_004352.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4352,1792,65293,181,243,0.9962921142578125,0.002772119522766606,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_004608,jrc_tmf_2020_2023_amazon_bolivia_01_001792_004608.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,4608,1792,59168,246,6368,0.90283203125,0.004157652785289345,0|1|255
jrc_tmf_2020_2023_amazon_bolivia_01_001792_005120,jrc_tmf_2020_2023_amazon_bolivia_01_001792_005120.png,train,jrc_tmf_2020_2023_amazon_bolivia_01,positive,5120,1792,65273,152,263,0.9959869384765625,0.0023286810779342146,0|1|255
