audit_id,sample_id,split,sample_type,source,roi,x,y,valid_ratio,change_ratio,change_pixels,valid_pixels,valid_band,change_band,A_path,B_path,label_path,contact_sheet_path,audit_status,visual_quality,label_alignment,cloud_shadow_issue,water_issue,boundary_confidence,reviewer,review_date,notes
audit_0011,jrc_tmf_2020_2023_amazon_brazil_02_stable_004608_005120,train,positive,jrc_tmf_2020_2023_amazon_brazil_02_stable,amazon_brazil_02_stable,5120,4608,0.8815002441,0.0227626796,1315,57770,valid_0.85_0.95,change_0.02_0.05,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_02_stable_004608_005120.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_02_stable_004608_005120.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_02_stable_004608_005120.png,quality_report/human_audit_contact_sheets/audit_0011_jrc_tmf_2020_2023_amazon_brazil_02_stable_004608_005120.png,,,,,,,reviewer1,,
audit_0012,jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_000768,val,positive,jrc_tmf_2020_2023_amazon_brazil_02_stable,amazon_brazil_02_stable,768,6400,1.0000000000,0.0040283203,264,65536,valid_0.99_1.00,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_000768.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_000768.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_000768.png,quality_report/human_audit_contact_sheets/audit_0012_jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_000768.png,,,,,,,reviewer1,,
audit_0013,jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_002560,test,positive,jrc_tmf_2020_2023_amazon_brazil_02_stable,amazon_brazil_02_stable,2560,6400,0.9999542236,0.0043642134,286,65533,valid_0.99_1.00,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_002560.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_002560.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_002560.png,quality_report/human_audit_contact_sheets/audit_0013_jrc_tmf_2020_2023_amazon_brazil_02_stable_006400_002560.png,,,,,,,reviewer1,,
audit_0014,jrc_tmf_2020_2023_amazon_colombia_01_002816_003328,train,negative,jrc_tmf_2020_2023_amazon_colombia_01,amazon_colombia_01,3328,2816,0.9999847412,0.0000000000,0,65535,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_01_002816_003328.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_01_002816_003328.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_01_002816_003328.png,quality_report/human_audit_contact_sheets/audit_0014_jrc_tmf_2020_2023_amazon_colombia_01_002816_003328.png,,,,,,,reviewer1,,
audit_0015,jrc_tmf_2020_2023_amazon_colombia_01_006656_003584,train,negative,jrc_tmf_2020_2023_amazon_colombia_01,amazon_colombia_01,3584,6656,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_01_006656_003584.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_01_006656_003584.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_01_006656_003584.png,quality_report/human_audit_contact_sheets/audit_0015_jrc_tmf_2020_2023_amazon_colombia_01_006656_003584.png,,,,,,,reviewer1,,
audit_0016,jrc_tmf_2020_2023_amazon_colombia_01_003072_003840,test,negative,jrc_tmf_2020_2023_amazon_colombia_01,amazon_colombia_01,3840,3072,0.9999237061,0.0000000000,0,65531,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_01_003072_003840.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_01_003072_003840.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_01_003072_003840.png,quality_report/human_audit_contact_sheets/audit_0016_jrc_tmf_2020_2023_amazon_colombia_01_003072_003840.png,,,,,,,reviewer1,,
audit_0017,jrc_tmf_2020_2023_amazon_colombia_01_002304_005376,train,positive,jrc_tmf_2020_2023_amazon_colombia_01,amazon_colombia_01,5376,2304,0.8690032959,0.0061631929,351,56951,valid_0.85_0.95,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_01_002304_005376.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_01_002304_005376.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_01_002304_005376.png,quality_report/human_audit_contact_sheets/audit_0017_jrc_tmf_2020_2023_amazon_colombia_01_002304_005376.png,,,,,,,reviewer1,,
audit_0018,jrc_tmf_2020_2023_amazon_colombia_01_000256_005120,train,positive,jrc_tmf_2020_2023_amazon_colombia_01,amazon_colombia_01,5120,256,0.9532165527,0.0160236914,1001,62470,valid_0.95_0.99,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_01_000256_005120.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_01_000256_005120.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_01_000256_005120.png,quality_report/human_audit_contact_sheets/audit_0018_jrc_tmf_2020_2023_amazon_colombia_01_000256_005120.png,,,,,,,reviewer1,,
audit_0019,jrc_tmf_2020_2023_amazon_colombia_01_003584_005632,train,positive,jrc_tmf_2020_2023_amazon_colombia_01,amazon_colombia_01,5632,3584,0.9500732422,0.0042400103,264,62264,valid_0.95_0.99,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_01_003584_005632.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_01_003584_005632.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_01_003584_005632.png,quality_report/human_audit_contact_sheets/audit_0019_jrc_tmf_2020_2023_amazon_colombia_01_003584_005632.png,,,,,,,reviewer1,,
audit_0020,jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_000256,train,negative,jrc_tmf_2020_2023_amazon_colombia_02_stable,amazon_colombia_02_stable,256,2304,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_000256.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_000256.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_000256.png,quality_report/human_audit_contact_sheets/audit_0020_jrc_tmf_2020_2023_amazon_colombia_02_stable_002304_000256.png,,,,,,,reviewer1,,
audit_0021,jrc_tmf_2020_2023_amazon_colombia_02_stable_004352_005632,train,negative,jrc_tmf_2020_2023_amazon_colombia_02_stable,amazon_colombia_02_stable,5632,4352,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_004352_005632.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_004352_005632.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_004352_005632.png,quality_report/human_audit_contact_sheets/audit_0021_jrc_tmf_2020_2023_amazon_colombia_02_stable_004352_005632.png,,,,,,,reviewer1,,
audit_0022,jrc_tmf_2020_2023_amazon_colombia_02_stable_003584_000256,train,negative,jrc_tmf_2020_2023_amazon_colombia_02_stable,amazon_colombia_02_stable,256,3584,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_003584_000256.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_003584_000256.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_003584_000256.png,quality_report/human_audit_contact_sheets/audit_0022_jrc_tmf_2020_2023_amazon_colombia_02_stable_003584_000256.png,,,,,,,reviewer1,,
audit_0023,jrc_tmf_2020_2023_amazon_colombia_02_stable_005888_002560,train,positive,jrc_tmf_2020_2023_amazon_colombia_02_stable,amazon_colombia_02_stable,2560,5888,0.9553070068,0.0053987573,338,62607,valid_0.95_0.99,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_005888_002560.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_005888_002560.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_005888_002560.png,quality_report/human_audit_contact_sheets/audit_0023_jrc_tmf_2020_2023_amazon_colombia_02_stable_005888_002560.png,,,,,,,reviewer1,,
audit_0024,jrc_tmf_2020_2023_amazon_colombia_02_stable_006144_002304,train,positive,jrc_tmf_2020_2023_amazon_colombia_02_stable,amazon_colombia_02_stable,2304,6144,0.8538513184,0.0035383681,198,55958,valid_0.85_0.95,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_006144_002304.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_006144_002304.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_006144_002304.png,quality_report/human_audit_contact_sheets/audit_0024_jrc_tmf_2020_2023_amazon_colombia_02_stable_006144_002304.png,,,,,,,reviewer1,,
audit_0025,jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000768,val,positive,jrc_tmf_2020_2023_amazon_colombia_02_stable,amazon_colombia_02_stable,768,7168,0.8130950928,0.0066245050,353,53287,valid_0.80_0.85,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000768.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000768.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000768.png,quality_report/human_audit_contact_sheets/audit_0025_jrc_tmf_2020_2023_amazon_colombia_02_stable_007168_000768.png,,,,,,,reviewer1,,
audit_0026,jrc_tmf_2020_2023_amazon_guyana_01_stable_005888_005888,train,negative,jrc_tmf_2020_2023_amazon_guyana_01_stable,amazon_guyana_01_stable,5888,5888,0.9999237061,0.0000000000,0,65531,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_guyana_01_stable_005888_005888.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_guyana_01_stable_005888_005888.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_guyana_01_stable_005888_005888.png,quality_report/human_audit_contact_sheets/audit_0026_jrc_tmf_2020_2023_amazon_guyana_01_stable_005888_005888.png,,,,,,,reviewer1,,
audit_0027,jrc_tmf_2020_2023_amazon_guyana_01_stable_003072_005888,val,negative,jrc_tmf_2020_2023_amazon_guyana_01_stable,amazon_guyana_01_stable,5888,3072,0.9997558594,0.0000000000,0,65520,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_guyana_01_stable_003072_005888.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_guyana_01_stable_003072_005888.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_guyana_01_stable_003072_005888.png,quality_report/human_audit_contact_sheets/audit_0027_jrc_tmf_2020_2023_amazon_guyana_01_stable_003072_005888.png,,,,,,,reviewer1,,
audit_0028,jrc_tmf_2020_2023_amazon_guyana_01_stable_002048_005120,train,negative,jrc_tmf_2020_2023_amazon_guyana_01_stable,amazon_guyana_01_stable,5120,2048,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_guyana_01_stable_002048_005120.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_guyana_01_stable_002048_005120.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_guyana_01_stable_002048_005120.png,quality_report/human_audit_contact_sheets/audit_0028_jrc_tmf_2020_2023_amazon_guyana_01_stable_002048_005120.png,,,,,,,reviewer1,,
audit_0029,jrc_tmf_2020_2023_amazon_guyana_01_stable_000256_003840,test,positive,jrc_tmf_2020_2023_amazon_guyana_01_stable,amazon_guyana_01_stable,3840,256,0.9281768799,0.0022686548,138,60829,valid_0.85_0.95,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_guyana_01_stable_000256_003840.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_guyana_01_stable_000256_003840.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_guyana_01_stable_000256_003840.png,quality_report/human_audit_contact_sheets/audit_0029_jrc_tmf_2020_2023_amazon_guyana_01_stable_000256_003840.png,,,,,,,reviewer1,,
audit_0030,jrc_tmf_2020_2023_amazon_guyana_01_stable_000000_001792,train,positive,jrc_tmf_2020_2023_amazon_guyana_01_stable,amazon_guyana_01_stable,1792,0,0.9759063721,0.0046593805,298,63957,valid_0.95_0.99,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_guyana_01_stable_000000_001792.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_guyana_01_stable_000000_001792.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_guyana_01_stable_000000_001792.png,quality_report/human_audit_contact_sheets/audit_0030_jrc_tmf_2020_2023_amazon_guyana_01_stable_000000_001792.png,,,,,,,reviewer1,,
audit_0031,jrc_tmf_2020_2023_amazon_guyana_01_stable_000768_003584,test,positive,jrc_tmf_2020_2023_amazon_guyana_01_stable,amazon_guyana_01_stable,3584,768,0.8169555664,0.0040343668,216,53540,valid_0.80_0.85,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_guyana_01_stable_000768_003584.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_guyana_01_stable_000768_003584.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_guyana_01_stable_000768_003584.png,quality_report/human_audit_contact_sheets/audit_0031_jrc_tmf_2020_2023_amazon_guyana_01_stable_000768_003584.png,,,,,,,reviewer1,,
audit_0032,jrc_tmf_2020_2023_amazon_peru_01_001536_003840,train,negative,jrc_tmf_2020_2023_amazon_peru_01,amazon_peru_01,3840,1536,0.9999389648,0.0000000000,0,65532,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_01_001536_003840.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_01_001536_003840.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_01_001536_003840.png,quality_report/human_audit_contact_sheets/audit_0032_jrc_tmf_2020_2023_amazon_peru_01_001536_003840.png,,,,,,,reviewer1,,
audit_0033,jrc_tmf_2020_2023_amazon_peru_01_006400_003840,train,negative,jrc_tmf_2020_2023_amazon_peru_01,amazon_peru_01,3840,6400,0.9997711182,0.0000000000,0,65521,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_01_006400_003840.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_01_006400_003840.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_01_006400_003840.png,quality_report/human_audit_contact_sheets/audit_0033_jrc_tmf_2020_2023_amazon_peru_01_006400_003840.png,,,,,,,reviewer1,,
audit_0034,jrc_tmf_2020_2023_amazon_peru_01_005376_006656,train,negative,jrc_tmf_2020_2023_amazon_peru_01,amazon_peru_01,6656,5376,0.9998779297,0.0000000000,0,65528,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_01_005376_006656.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_01_005376_006656.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_01_005376_006656.png,quality_report/human_audit_contact_sheets/audit_0034_jrc_tmf_2020_2023_amazon_peru_01_005376_006656.png,,,,,,,reviewer1,,
audit_0035,jrc_tmf_2020_2023_amazon_peru_01_000512_004096,test,positive,jrc_tmf_2020_2023_amazon_peru_01,amazon_peru_01,4096,512,0.9735565186,0.0023980064,153,63803,valid_0.95_0.99,change_0_0.005,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_01_000512_004096.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_01_000512_004096.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_01_000512_004096.png,quality_report/human_audit_contact_sheets/audit_0035_jrc_tmf_2020_2023_amazon_peru_01_000512_004096.png,,,,,,,reviewer1,,
audit_0036,jrc_tmf_2020_2023_amazon_peru_01_000000_004096,test,positive,jrc_tmf_2020_2023_amazon_peru_01,amazon_peru_01,4096,0,0.9225921631,0.0084679887,512,60463,valid_0.85_0.95,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_01_000000_004096.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_01_000000_004096.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_01_000000_004096.png,quality_report/human_audit_contact_sheets/audit_0036_jrc_tmf_2020_2023_amazon_peru_01_000000_004096.png,,,,,,,reviewer1,,
audit_0037,jrc_tmf_2020_2023_amazon_peru_01_001792_000000,train,positive,jrc_tmf_2020_2023_amazon_peru_01,amazon_peru_01,0,1792,0.9429016113,0.0148558112,918,61794,valid_0.85_0.95,change_0.005_0.02,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_01_001792_000000.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_01_001792_000000.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_01_001792_000000.png,quality_report/human_audit_contact_sheets/audit_0037_jrc_tmf_2020_2023_amazon_peru_01_001792_000000.png,,,,,,,reviewer1,,
audit_0038,jrc_tmf_2020_2023_amazon_peru_02_stable_001024_000256,train,negative,jrc_tmf_2020_2023_amazon_peru_02_stable,amazon_peru_02_stable,256,1024,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_02_stable_001024_000256.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_02_stable_001024_000256.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_02_stable_001024_000256.png,quality_report/human_audit_contact_sheets/audit_0038_jrc_tmf_2020_2023_amazon_peru_02_stable_001024_000256.png,,,,,,,reviewer1,,
audit_0039,jrc_tmf_2020_2023_amazon_peru_02_stable_000512_005376,train,negative,jrc_tmf_2020_2023_amazon_peru_02_stable,amazon_peru_02_stable,5376,512,0.9999847412,0.0000000000,0,65535,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_02_stable_000512_005376.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_02_stable_000512_005376.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_02_stable_000512_005376.png,quality_report/human_audit_contact_sheets/audit_0039_jrc_tmf_2020_2023_amazon_peru_02_stable_000512_005376.png,,,,,,,reviewer1,,
audit_0040,jrc_tmf_2020_2023_amazon_peru_02_stable_001024_001024,train,negative,jrc_tmf_2020_2023_amazon_peru_02_stable,amazon_peru_02_stable,1024,1024,1.0000000000,0.0000000000,0,65536,valid_0.99_1.00,change_0,data/JRC_TMF_256_5000/A/jrc_tmf_2020_2023_amazon_peru_02_stable_001024_001024.png,data/JRC_TMF_256_5000/B/jrc_tmf_2020_2023_amazon_peru_02_stable_001024_001024.png,data/JRC_TMF_256_5000/label/jrc_tmf_2020_2023_amazon_peru_02_stable_001024_001024.png,quality_report/human_audit_contact_sheets/audit_0040_jrc_tmf_2020_2023_amazon_peru_02_stable_001024_001024.png,,,,,,,reviewer1,,
